Geography,city,bicycle,population,per_100k,score
1600000US0807850,"Boulder, Colorado",5169.0,105482.0,4900.362147096187,2.7355425859771167
1600000US2562535,"Somerville, Massachusetts",3706.0,79761.0,4646.3810634269885,2.6587616932816074
1600000US2511000,"Cambridge, Massachusetts",5012.0,118489.0,4229.928516571158,2.5232874974146697
1600000US1245025,"Miami Beach, Florida",2864.0,80027.0,3578.7921576467943,2.282126974664393
1600000US0649670,"Mountain View, California",2483.0,81058.0,3063.238668607664,2.0577119917927162
1600000US0827425,"Fort Collins, Colorado",4796.0,169248.0,2833.71147664965,1.9453470877512633
1600000US4123850,"Eugene, Oregon",4877.0,177930.0,2740.9655482493117,1.8973384093553627
1600000US3050200,"Missoula, Montana",1876.0,76960.0,2437.6299376299376,1.7281333382363497
1600000US0669070,"Santa Barbara, California",2079.0,87519.0,2375.4841805779315,1.6908758138265159
1600000US0667000,"San Francisco, California",15986.0,808437.0,1977.3958886097496,1.4262559523154026
1600000US1938595,"Iowa City, Iowa",1487.0,75231.0,1976.5788039504992,1.4256596895194444
1600000US1724582,"Evanston, Illinois",1362.0,75538.0,1803.0660065132781,1.2931064264190073
1600000US4159000,"Portland, Oregon",11321.0,635296.0,1782.003979247469,1.2761547730314902
1600000US0606000,"Berkeley, California",2050.0,118942.0,1723.5291150308553,1.2280198845045691
1600000US1150000,"Washington, District of Columbia",11309.0,671803.0,1683.3803957410134,1.1940154358576618
1600000US1901855,"Ames, Iowa",1085.0,66950.0,1620.6123973114265,1.1391932966111842
1600000US5363000,"Seattle, Washington",11347.0,749267.0,1514.4134200491949,1.0414133153277958
1600000US0473000,"Tempe, Arizona",2760.0,185939.0,1484.3577732482158,1.01249307979787
1600000US2507000,"Boston, Massachusetts",9616.0,649768.0,1479.912830425629,1.008166415581993
1600000US5548000,"Madison, Wisconsin",3992.0,272907.0,1462.7693683196107,0.9913565354056209
1600000US4815976,"College Station, Texas",1671.0,124326.0,1344.047101973843,0.8692379126856155
1600000US4967000,"Salt Lake City, Utah",2488.0,204653.0,1215.7163589099598,0.7244608847282589
1600000US1225175,"Gainesville, Florida",1763.0,145212.0,1214.0869900559182,0.7225260098595983
1600000US1608830,"Boise City, Idaho",2794.0,236632.0,1180.7363332093714,0.6823410512776702
1600000US0632548,"Hawthorne, California",996.0,84564.0,1177.8061586490705,0.6787563369919494
1600000US4962470,"Provo, Utah",1327.0,113516.0,1168.998202896508,0.6679269266166877
1600000US2743000,"Minneapolis, Minnesota",4960.0,425104.0,1166.7733072377582,0.6651785011904597
1600000US4260000,"Philadelphia, Pennsylvania",17309.0,1567258.0,1104.412930098299,0.5859338983335941
1600000US1571550,"Urban Honolulu, Hawaii",3721.0,343437.0,1083.459266182735,0.5582991293819443
1600000US0653000,"Oakland, California",4576.0,430531.0,1062.8735213027635,0.5306241453903113
1600000US2603000,"Ann Arbor, Michigan",1274.0,119871.0,1062.8091865421995,0.5305368177381569
1600000US0677000,"Sunnyvale, California",1374.0,153076.0,897.5933523217225,0.2867881109392899
1600000US4819972,"Denton, Texas",1329.0,150357.0,883.8963267423532,0.26460328382859216
1600000US2255000,"New Orleans, Louisiana",3215.0,369749.0,869.508774871602,0.2409267066499544
1600000US4513330,"Charleston, South Carolina",1322.0,153743.0,859.8765472249144,0.22485566616932184
1600000US0820000,"Denver, Colorado",6014.0,713252.0,843.1802504584634,0.19656719530228367
1600000US1369000,"Savannah, Georgia",1187.0,147987.0,802.0974815355403,0.12450370250817082
1600000US3651000,"New York, New York",66406.0,8335897.0,796.62692569258,0.1146303627960789
1600000US0660102,"Redwood City, California",609.0,80529.0,756.2493014938718,0.0395880244529776
1600000US1232000,"Hollywood, Florida",1124.0,152662.0,736.267047464333,0.0009552530838692972
