city,state,2023 estimate,2020 census,land area,latitude,longitude,abbrev
New York,New York,8258035,8804190,300.5,40.66,-73.94,NY
Los Angeles,California,3820914,3898747,469.5,34.02,-118.41,CA
Chicago,Illinois,2664452,2746388,227.7,41.84,-87.68,IL
Houston,Texas,2314157,2304580,640.4,29.79,-95.39,TX
Phoenix,Arizona,1650070,1608139,518,33.57,-112.09,AZ
Philadelphia,Pennsylvania,1550542,1603797,134.4,40.01,-75.13,PA
San Antonio,Texas,1495295,1434625,498.8,29.46,-98.52,TX
San Diego,California,1388320,1386932,325.9,32.81,-117.14,CA
Dallas,Texas,1302868,1304379,339.6,32.79,-96.77,TX
Jacksonville,Florida,985843,949611,747.3,30.34,-81.66,FL
Austin,Texas,979882,961855,319.9,30.3,-97.75,TX
Fort Worth,Texas,978468,918915,347.3,32.78,-97.35,TX
San Jose,California,969655,1013240,178.3,37.3,-121.81,CA
Columbus,Ohio,913175,905748,220,39.99,-82.99,OH
Charlotte,North Carolina,911311,874579,308.3,35.21,-80.83,NC
Indianapolis,Indiana,879293,887642,361.6,39.78,-86.15,IN
San Francisco,California,808988,873965,46.9,37.73,-123.03,CA
Seattle,Washington,755078,737015,83.8,47.62,-122.35,WA
Denver,Colorado,716577,715522,153.1,39.76,-104.88,CO
Oklahoma City,Oklahoma,702767,681054,606.2,35.47,-97.51,OK
Nashville,Tennessee,687788,689447,475.8,36.17,-86.79,TN
Washington,District of Columbia,678972,689545,61.1,38.9,-77.02,DC
El Paso,Texas,678958,678815,258.4,31.85,-106.43,TX
Las Vegas,Nevada,660929,641903,141.8,36.23,-115.26,NV
Boston,Massachusetts,653833,675647,48.3,42.34,-71.02,MA
Detroit,Michigan,633218,639111,138.7,42.38,-83.1,MI
Portland,Oregon,630498,652503,133.5,45.54,-122.65,OR
Louisville,Kentucky,622981,633045,324.9,38.17,-85.65,KY
Memphis,Tennessee,618639,633104,297,35.11,-89.97,TN
Baltimore,Maryland,565239,585708,80.9,39.3,-76.61,MD
Milwaukee,Wisconsin,561385,577222,96.2,43.06,-87.97,WI
Albuquerque,New Mexico,560274,564559,187.3,35.1,-106.65,NM
Tucson,Arizona,547239,542629,241,32.15,-110.87,AZ
Fresno,California,545716,542107,115.2,36.78,-119.79,CA
Sacramento,California,526384,524943,98.6,38.57,-121.47,CA
Mesa,Arizona,511648,504258,138.7,33.4,-111.72,AZ
Atlanta,Georgia,510823,498715,135.3,33.76,-84.42,GA
Kansas City,Missouri,510704,508090,314.7,39.12,-94.56,MO
Colorado Springs,Colorado,488664,478961,195.4,38.87,-104.76,CO
Omaha,Nebraska,483335,486051,141.6,41.26,-96.05,NE
Raleigh,North Carolina,482295,467665,147.1,35.83,-78.64,NC
Miami,Florida,455924,442241,36,25.78,-80.21,FL
Virginia Beach,Virginia,453649,459470,244.7,36.78,-76.03,VA
Long Beach,California,449468,466742,50.7,33.78,-118.17,CA
Oakland,California,436504,440646,55.9,37.77,-122.23,CA
Minneapolis,Minnesota,425115,429954,54,44.96,-93.27,MN
Bakersfield,California,413381,403455,149.8,35.35,-119.04,CA
Tulsa,Oklahoma,411894,413066,197.5,36.13,-95.9,OK
Tampa,Florida,403364,384959,114,27.97,-82.47,FL
Arlington,Texas,398431,394266,95.9,32.7,-97.12,TX
Wichita,Kansas,396119,397532,162,37.69,-97.35,KS
Aurora,Colorado,395052,386261,160.1,39.7,-104.72,CO
New Orleans,Louisiana,364136,383997,169.5,30.05,-89.93,LA
Cleveland,Ohio,362656,372624,77.7,41.48,-81.68,OH
Honolulu,Hawaii,341778,350964,60.5,21.32,-157.85,HI
Anaheim,California,340512,346824,50.3,33.86,-117.76,CA
Henderson,Nevada,337305,317610,106.2,36.01,-115.04,NV
Orlando,Florida,320742,307573,110.6,28.41,-81.25,FL
Lexington,Kentucky,320154,322570,283.6,38.04,-84.46,KY
Stockton,California,319543,320804,62.2,37.98,-121.31,CA
Riverside,California,318858,314998,81.2,33.94,-117.39,CA
Corpus Christi,Texas,316595,317863,162.2,27.75,-97.17,TX
Irvine,California,314621,307670,65.6,33.68,-117.77,CA
Cincinnati,Ohio,311097,309317,77.8,39.14,-84.51,OH
Santa Ana,California,310539,310227,27.3,33.74,-117.88,CA
Newark,New Jersey,304960,311549,24.1,40.72,-74.17,NJ
Saint Paul,Minnesota,303820,311527,52,44.95,-93.1,MN
Pittsburgh,Pennsylvania,303255,302971,55.4,40.44,-79.98,PA
Greensboro,North Carolina,302296,299035,129.6,36.1,-79.83,NC
Durham,North Carolina,296186,283506,112.8,35.98,-78.9,NC
Lincoln,Nebraska,294757,291082,97.7,40.81,-96.68,NE
Jersey City,New Jersey,291657,292449,14.7,40.71,-74.06,NJ
Plano,Texas,290190,285494,71.7,33.05,-96.75,TX
Anchorage,Alaska,286075,291247,"1,706.80",61.17,-149.28,AK
North Las Vegas,Nevada,284771,262527,101.3,36.28,-115.09,NV
St. Louis,Missouri,281754,301578,61.7,38.64,-90.24,MO
Madison,Wisconsin,280305,269840,79.6,43.09,-89.43,WI
Chandler,Arizona,280167,275987,65.3,33.28,-111.85,AZ
Gilbert,Arizona,275411,267918,68.6,33.31,-111.74,AZ
Reno,Nevada,274915,264165,108.8,39.55,-119.85,NV
Buffalo,New York,274678,278349,40.4,42.89,-78.86,NY
Chula Vista,California,274333,275487,49.6,32.63,-117.02,CA
Fort Wayne,Indiana,269994,263886,110.7,41.09,-85.14,IN
Lubbock,Texas,266878,257141,134.6,33.57,-101.89,TX
Toledo,Ohio,265304,270871,80.5,41.66,-83.58,OH
St. Petersburg,Florida,263553,258308,61.8,27.77,-82.64,FL
Laredo,Texas,257602,255205,106.5,27.56,-99.49,TX
Irving,Texas,254373,256684,67,32.86,-96.97,TX
Chesapeake,Virginia,253886,249422,338.5,36.68,-76.3,VA
Glendale,Arizona,253855,248325,61.6,33.53,-112.19,AZ
Winston-Salem,North Carolina,252975,249545,132.7,36.1,-80.26,NC
Port St. Lucie,Florida,245021,204851,119.2,27.28,-80.39,FL
Scottsdale,Arizona,244394,241361,184,33.68,-111.86,AZ
Garland,Texas,243470,246018,57.1,32.91,-96.63,TX
Boise,Idaho,235421,235684,84,43.6,-116.23,ID
Norfolk,Virginia,230930,238005,53.3,36.92,-76.24,VA
Spokane,Washington,229447,228989,68.8,47.67,-117.43,WA
Richmond,Virginia,229247,226610,59.9,37.53,-77.48,VA
Fremont,California,226208,230504,78.3,37.49,-121.94,CA
Huntsville,Alabama,225564,215006,218.1,34.78,-86.53,AL
Frisco,Texas,225007,200509,68.6,33.16,-96.82,TX
Cape Coral,Florida,224455,194016,106,26.65,-81.99,FL
Santa Clarita,California,224028,228673,70.8,34.41,-118.49,CA
San Bernardino,California,223728,222101,62.1,34.14,-117.29,CA
Tacoma,Washington,222906,219346,49.7,47.25,-122.46,WA
Hialeah,Florida,221300,223109,21.6,25.87,-80.3,FL
Baton Rouge,Louisiana,219573,227470,86.3,30.44,-91.13,LA
Modesto,California,218915,218464,43,37.64,-121.0,CA
Fontana,California,215465,208393,43.1,34.11,-117.46,CA
McKinney,Texas,213509,195308,67,33.2,-96.66,TX
Moreno Valley,California,212392,208634,51.3,33.92,-117.21,CA
Des Moines,Iowa,210381,214133,88.2,41.57,-93.61,IA
Fayetteville,North Carolina,209749,208501,148.3,35.08,-78.97,NC
Salt Lake City,Utah,209593,199723,110.3,40.78,-111.93,UT
Yonkers,New York,207657,211569,18,40.95,-73.87,NY
Worcester,Massachusetts,207621,206518,37.4,42.27,-71.81,MA
Rochester,New York,207274,211328,35.8,43.17,-77.62,NY
Sioux Falls,South Dakota,206410,192517,79.1,43.54,-96.73,SD
Little Rock,Arkansas,203842,202591,120,34.72,-92.36,AR
Amarillo,Texas,202408,200393,102.3,35.2,-101.83,TX
Tallahassee,Florida,202221,196169,100.9,30.46,-84.25,FL
Grand Prairie,Texas,202134,196100,72.6,32.69,-97.02,TX
Columbus,Georgia,201877,206922,216.5,32.51,-84.87,GA
Augusta,Georgia,200884,202081,302.3,33.37,-82.07,GA
Peoria,Arizona,198750,190985,176.1,33.79,-112.31,AZ
Oxnard,California,198488,202063,26.5,34.2,-119.21,CA
Knoxville,Tennessee,198162,190740,98.7,35.97,-83.95,TN
Overland Park,Kansas,197089,197238,75.2,38.89,-94.69,KS
Birmingham,Alabama,196644,200733,147,33.53,-86.8,AL
Grand Rapids,Michigan,196608,198917,44.8,42.96,-85.66,MI
Vancouver,Washington,196442,190915,48.7,45.64,-122.6,WA
Montgomery,Alabama,195287,200603,159.9,32.35,-86.27,AL
Huntington Beach,California,192129,198711,27,33.7,-118.0,CA
Providence,Rhode Island,190792,190934,18.4,41.82,-71.42,RI
Brownsville,Texas,190158,186738,131.5,26.0,-97.45,TX
Tempe,Arizona,189834,180587,39.9,33.39,-111.93,AZ
Akron,Ohio,188701,190469,61.9,41.08,-81.52,OH
Glendale,California,187050,196543,30.5,34.18,-118.25,CA
Chattanooga,Tennessee,187030,181099,142.4,35.07,-85.25,TN
Fort Lauderdale,Florida,184255,182760,34.6,26.14,-80.15,FL
Newport News,Virginia,183118,186247,69,37.08,-76.52,VA
Mobile,Alabama,182595,187041,139.5,30.67,-88.1,AL
Ontario,California,182457,175265,50,34.04,-117.6,CA
Clarksville,Tennessee,180716,166722,99.4,36.57,-87.35,TN
Cary,North Carolina,180010,174721,59.2,35.78,-78.82,NC
Elk Grove,California,178444,176124,42,38.41,-121.38,CA
Shreveport,Louisiana,177959,187593,107.8,32.47,-93.79,LA
Eugene,Oregon,177899,176654,44.2,44.06,-123.12,OR
Aurora,Illinois,177563,180542,45,41.76,-88.29,IL
Salem,Oregon,177432,175535,48.8,44.92,-123.02,OR
Santa Rosa,California,175845,178127,42.5,38.45,-122.71,CA
Rancho Cucamonga,California,174405,174453,40.1,34.12,-117.56,CA
Pembroke Pines,Florida,171119,171178,32.7,26.01,-80.34,FL
Fort Collins,Colorado,170376,169810,57.2,40.55,-105.06,CO
Springfield,Missouri,170188,169176,82.4,37.19,-93.29,MO
Oceanside,California,170020,174068,41.3,33.22,-117.31,CA
Garden Grove,California,168234,171949,18,33.78,-117.96,CA
Lancaster,California,166236,173516,94.3,34.69,-118.18,CA
Murfreesboro,Tennessee,165430,152769,62.9,35.85,-86.42,TN
Palmdale,California,161404,169450,106.1,34.59,-118.11,CA
Corona,California,160238,157136,39.9,33.86,-117.57,CA
Killeen,Texas,159643,153095,54.8,31.08,-97.73,TX
Salinas,California,159506,163542,23.5,36.69,-121.63,CA
Roseville,California,159135,147773,44.1,38.77,-121.32,CA
