city,state,population,area,radius,gyms,per_100k,score
Boulder,Colorado,105898,26.3,4656.416538709048,11,10.387353868817163,4.790595119166142
Burbank,California,102755,17.3,3776.565317388338,5,4.865943263101552,3.6965583417867753
Inglewood,California,102865,9.1,2739.0164781401686,5,4.86073980459826,3.6950147519644148
Centennial,Colorado,106883,29.7,4948.256154649518,5,4.678012406088901,3.6397345309592017
Lakewood,Colorado,155961,43.5,5988.507217696489,7,4.48830156257013,3.580008455058578
Westminster,Colorado,114875,31.6,5104.080204226817,5,4.352557127312296,3.535702076609592
Berkeley,California,118962,10.4,2928.131782265345,5,4.203022814007834,3.485266130696362
Arvada,Colorado,121414,38.9,5663.0285291185755,5,4.118141235771822,3.4558321527243088
Thousand Oaks,California,123463,55.3,6752.063446055962,5,4.049796295246349,3.4316881854982584
Bend,Oregon,104557,33.6,5263.1238226355645,4,3.8256644700976503,3.349549190900405
Jurupa Valley,California,107321,42.9,5947.063763239701,4,3.727136347965449,3.3119064406600236
Thornton,Colorado,144922,35.9,5440.279005693551,5,3.4501317950345705,3.200490317130554
Simi Valley,California,125113,41.5,5849.220551081059,4,3.197109812729293,3.0906071411739195
Pasadena,California,133560,23.0,4354.495708340998,4,2.994908655286014,2.9963508447228735
St. George,Utah,104578,78.5,8044.680069315788,3,2.8686721872669203,2.934221959190734
Costa Mesa,California,108354,15.8,3609.1297241288007,3,2.7687025859682155,2.8830489309631644
Downey,California,108816,12.4,3197.3103345665954,3,2.756947507719453,2.8769106419325654
Ventura,California,109058,21.9,4249.090746417698,3,2.750829833666489,2.873705740535671
Glendale,California,187050,30.5,5014.456503801025,5,2.6730820636193533,2.8323429722351627
Rancho Cucamonga,California,174405,40.1,5749.712575976234,4,2.293512227287062,2.6113974420448525
Ontario,California,182457,50.0,6420.353653059013,4,2.192297363214346,2.5462823419630283
Orange,California,138337,25.7,4602.995078163671,3,2.168617217374961,2.5306142686165596
Torrance,California,139224,20.5,4111.032208879269,3,2.154800896397173,2.5213934136874476
Tempe,Arizona,189834,39.9,5735.356217552478,4,2.1071041014781335,2.489100435501016
Scottsdale,Arizona,244394,184.0,12316.373776062555,5,2.0458767400181674,2.4465580714472153
Peoria,Arizona,198750,176.1,12049.072757224365,4,2.0125786163522013,2.4228839828395463
Denver,Colorado,716577,153.1,11234.701662034742,14,1.9537328158732419,2.3800720272415266
El Cajon,California,102991,14.5,3457.4662541810844,2,1.9419172549057686,2.3713205720676025
Rialto,California,103391,24.1,4457.40884109006,2,1.9344043485409754,2.365728236118311
El Monte,California,103794,9.6,2813.2580183528944,2,1.9268936547391948,2.3601157947279643
Irvine,California,314621,65.6,7354.037981396128,6,1.9070564266212364,2.345186374460507
Green Bay,Wisconsin,105744,45.5,6124.627036613484,2,1.8913602663035256,2.3332630372513123
Corona,California,160238,39.9,5735.356217552478,3,1.8722150800683983,2.3185850244848054
Palmdale,California,161404,106.1,9352.584501965159,3,1.8586899952913187,2.308125011261112
Seattle,Washington,755078,83.8,8311.816718796414,14,1.8541130850057874,2.3045680819150087
Lancaster,California,166236,94.3,8817.181793704647,3,1.8046632498375803,2.265568498568235
Everett,Washington,111180,33.2,5231.701907042412,2,1.7988846914912753,2.260941556037567
San Bernardino,California,223728,62.1,7155.166578053405,4,1.78788528927984,2.252093019413251
Aurora,Colorado,395052,160.1,11488.666292445565,7,1.77191863349635,2.2391512000942138
Carlsbad,California,113495,37.8,5582.385817815107,2,1.7621921670558176,2.231210101967893
Richmond,California,114106,30.1,4981.466300224224,2,1.7527562091388709,2.2234641888346687
Manchester,New Hampshire,115474,33.1,5223.816895919163,2,1.7319916171605727,2.2062707906740773
Cambridge,Massachusetts,118214,6.4,2297.0155532526483,2,1.6918469893582824,2.1724379402547336
Eugene,Oregon,177899,44.2,6036.498312004056,3,1.6863501200119169,2.1677429429596815
Lafayette,Louisiana,121467,55.8,6782.519457389606,2,1.6465377427614083,2.133274425725906
Colorado Springs,Colorado,488664,195.4,12692.18017310662,8,1.6371167100502593,2.1249960184443237
Chattanooga,Tennessee,187030,142.4,10835.000694713022,3,1.604020745334973,2.095531644005897
College Station,Texas,125192,51.2,6496.941096783667,2,1.5975461690842867,2.089696468897979
Glendale,Arizona,253855,61.6,7126.3033439076235,4,1.5757026649071322,2.069834167158901
Birmingham,Alabama,196644,147.0,11008.613292745991,3,1.5255995606273265,2.0232151765037343
Oxnard,California,198488,26.5,4674.088012231322,3,1.5114263834589496,2.0097495550469273
Victorville,California,138869,73.7,7794.848752781112,2,1.4402062375332148,1.9401142636275202
