city,state,biking,climbing,housing,vegan,winter,summer
New York,New York,826.072248501782,0.2179695290707777,813879.1371008676,3.487512465132444,0.1520833333333333,0.3709239130434782
Los Angeles,California,307.0086559528174,0.6542937108765076,742210.1222199983,5.15583444170688,0.6958333333333333,0.5543478260869565
Chicago,Illinois,931.6046662546128,0.3753116963638301,307402.4822969784,2.627181874546811,0.0069444444444444,0.5516304347826086
Houston,Texas,271.40888894472573,0.3456982391428067,167537.80518048516,1.771703475606884,0.5423611111111111,0.0842391304347826
Phoenix,Arizona,130.4746456026518,0.787845364136067,308697.9104500037,2.545346561054985,0.6736111111111112,0.0427989130434782
Philadelphia,Pennsylvania,836.067490259963,0.5159486166772651,258791.33079786427,3.869614625079489,0.1923611111111111,0.2282608695652173
San Antonio,Texas,148.95642074883023,0.1337528715069601,140357.86090525365,1.2037758435626411,0.5326388888888889,0.1657608695652173
San Diego,California,311.5074039079761,1.008413045983635,724234.7408620324,4.970035726633629,0.6569444444444444,0.4721467391304347
Dallas,Texas,28.806426095304023,0.2302612390510781,220704.4074553092,1.918843658758984,0.3715277777777778,0.1433423913043478
Jacksonville,Florida,181.8126003261932,0.4057441194997581,176474.82579604638,1.1157963286243346,0.6111111111111112,0.1698369565217391
Austin,Texas,545.7997868724284,0.918477939180432,402582.1669636536,5.30676142637583,0.4798611111111111,0.1283967391304347
Fort Worth,Texas,27.70175950535107,0.3066017488563755,188843.9905940969,1.226406995425502,0.3604166666666666,0.155570652173913
San Jose,California,381.1930077852807,0.4125178542883809,809784.590014648,3.609531225023333,0.50625,0.4918478260869565
Columbus,Ohio,351.7789149493694,0.6570482109124757,192766.396594131,2.0806526678895065,0.0791666666666666,0.4517663043478261
Charlotte,North Carolina,175.09756495674498,0.3291960702767771,285583.9748351825,2.633568562214217,0.3236111111111111,0.3077445652173913
Indianapolis,Indiana,137.2547918433363,0.6823664011882273,155115.3665267996,1.478460535907826,0.0423611111111111,0.422554347826087
San Francisco,California,2155.5818185773014,1.2361122785504852,1150397.5419309342,8.281952266288252,0.3479166666666666,0.6793478260869565
Seattle,Washington,2139.20245021716,2.118986382863757,680465.4693303986,5.827212552875332,0.3125,0.7724184782608695
Denver,Colorado,915.4768257068746,2.5119421918370253,432697.5417561685,5.861198447619726,0.1076388888888889,0.5292119565217391
Oklahoma City,Oklahoma,134.35921314307993,0.4268840170355181,121497.40436296428,1.8498307404872452,0.2277777777777777,0.2832880434782608
Nashville,Tennessee,224.55015497223263,0.7269681936875898,315315.03199113475,3.9256282459129848,0.3986111111111111,0.2581521739130434
Washington,District of Columbia,2226.130295478818,0.1472814784703934,557675.2376031078,11.340673842220298,0.2618055555555555,0.2235054347826087
El Paso,Texas,117.64291707494527,0.294569030779518,160115.0189726769,0.7364225769487951,0.4243055555555555,0.2384510869565217
Las Vegas,Nevada,194.1307127160036,1.0591152756196205,280751.65454649983,9.229433116113832,0.4659722222222222,0.0747282608695652
Boston,Massachusetts,1581.2781417050794,1.2235540267927745,755244.9259920642,5.200104613869291,0.0069444444444444,0.6141304347826086
Detroit,Michigan,108.09940189127492,0.3158469910836394,62154.64120737353,4.2639343796291325,0.0375,0.4945652173913043
Portland,Oregon,1810.4804398406172,2.0618622105066158,423332.20584978926,17.605131182018024,0.2090277777777777,0.5971467391304348
Louisville,Kentucky,248.7542779025364,0.6420741563546882,219681.06033848785,1.7657039299753925,0.1583333333333333,0.2900815217391304
Memphis,Tennessee,33.22770306546021,0.4849354793344745,86192.55554671261,1.7780967575597402,0.2888888888888888,0.2092391304347826
Baltimore,Maryland,544.2825694079057,0.1769163132763309,194161.05056824992,7.253568844329567,0.1770833333333333,0.2642663043478261
Milwaukee,Wisconsin,336.6387938499979,0.8906543637610552,182254.23986212592,2.1375704730265324,0.0208333333333333,0.6433423913043478
Albuquerque,New Mexico,329.98234978129074,0.7139363954065333,257050.9005007764,2.4987773839228664,0.2076388888888889,0.4042119565217391
Tucson,Arizona,644.7525410145286,0.7309420563958343,255793.67440965204,2.55829719738542,0.4638888888888889,0.1596467391304347
Fresno,California,192.51360229489305,0.1832454976581225,257413.4080845965,3.4816644555043283,0.60625,0.1976902173913043
Sacramento,California,639.4332075992886,0.9498768959542844,389140.30204135965,6.269187513298276,0.4527777777777778,0.3980978260869565
Mesa,Arizona,194.53070916692127,0.781787478891738,307327.5561497667,3.90893739445869,0.60625,0.0251358695652173
Atlanta,Georgia,526.4716401379825,1.1745751463814276,322376.0542376591,20.946590110468797,0.46875,0.2581521739130434
Kansas City,Missouri,52.70858161594435,0.9790406967636832,158214.15779936305,2.545505811585576,0.1375,0.3417119565217391
Colorado Springs,Colorado,134.94346962758846,1.6371167100502593,305474.82157863484,2.4556750650753894,0.1034722222222222,0.5414402173913043
Omaha,Nebraska,114.4578682630814,0.4137916765804255,195217.45706009748,2.068958382902128,0.1430555555555555,0.3050271739130434
Raleigh,North Carolina,104.27570416122104,0.4146839589877564,285801.7124402016,4.1468395898775645,0.3229166666666667,0.3091032608695652
Miami,Florida,859.1269922752491,0.4386696028285415,440504.3757660444,3.948026425456874,0.6833333333333333,0.0373641304347826
Virginia Beach,Virginia,252.4142055548715,0.6613042241909495,266491.0224590252,2.865651638160781,0.2131944444444444,0.3016304347826087
Long Beach,California,295.8415850367141,0.8899409969119048,683503.4594618431,8.899409969119048,0.7284722222222222,0.3838315217391304
Oakland,California,991.7150425519924,1.3745578505580704,555363.3909919182,12.829206605208658,0.4527777777777778,0.6739130434782609
Minneapolis,Minnesota,1462.531383291489,0.9409218682003692,282377.36487616185,2.8227656046011083,0.0131944444444444,0.5964673913043478
Bakersfield,California,63.9580703347139,0.2419075864638191,241309.50992032784,1.6933531052467337,0.5666666666666667,0.234375
Tulsa,Oklahoma,157.6204152282595,0.2427809096515122,146887.0050878721,1.4566854579090738,0.2395833333333333,0.2201086956521739
Tampa,Florida,696.8582283060966,0.9916601382374232,263714.4128486111,7.437451036780675,0.6416666666666667,0.0638586956521739
Arlington,Texas,73.50017471353006,0.5019689732977605,198127.1652886601,2.258860379839922,0.39375,0.1413043478260869
Wichita,Kansas,167.0852109637824,0.504898780416996,123686.8535910966,0.0,0.1173611111111111,0.3491847826086957
Aurora,Colorado,61.62225557333546,2.784443566922836,319298.750112652,6.075149600558913,0.1368055555555555,0.46875
New Orleans,Louisiana,633.8554346417573,0.2746226684535448,221016.38467836488,6.590944042885076,0.6215277777777778,0.1100543478260869
Cleveland,Ohio,399.02460651740193,0.8272302126533133,106734.20253088442,4.687637871702109,0.0236111111111111,0.548233695652174
Anaheim,California,484.6493837407387,0.8810262193402876,666082.7243787077,7.048209754722301,0.6423611111111112,0.3552989130434782
Henderson,Nevada,75.70995943088965,0.592935177361735,358613.3690539268,3.2611434754895416,0.4159722222222222,0.139945652173913
Orlando,Florida,178.27760540626093,0.6235541338521303,218196.35942642865,9.66508907470802,0.5833333333333334,0.1922554347826087
Lexington,Kentucky,281.3891578662992,0.6246993634313487,225541.44376728544,2.1864477720097204,0.0659722222222222,0.4035326086956521
Stockton,California,12.61616099452274,0.625893854661188,304655.2943665203,1.251787709322376,0.5104166666666666,0.3654891304347826
Riverside,California,245.21915303651727,1.5680961431107263,485071.76531328686,3.136192286221453,0.6083333333333333,0.3682065217391304
Irvine,California,458.1211385251637,2.2248991643914424,962847.0128512876,6.992540230944534,0.6895833333333333,0.4110054347826087
Cincinnati,Ohio,226.0934731386982,0.3214431511714996,183573.6121295692,7.07174932577299,0.1138888888888888,0.375
Santa Ana,California,457.3228585525067,1.9321244674581937,612613.8656543901,7.0844563806800425,0.7263888888888889,0.3953804347826087
Saint Paul,Minnesota,748.6568406811411,1.3165690211309329,239917.5548701464,0.6582845105654663,0.0298611111111111,0.5625
Pittsburgh,Pennsylvania,829.7851594240582,1.6487774315345172,166037.0996497626,5.605843267217359,0.0590277777777777,0.529891304347826
Greensboro,North Carolina,143.7996954829978,0.3308015984333236,165807.02281209867,1.3232063937332943,0.2590277777777778,0.374320652173913
Durham,North Carolina,616.14498620299,0.6752513623196235,279492.61132114864,4.051508173917742,0.3229166666666667,0.3091032608695652
Lincoln,Nebraska,595.7568540312548,0.6785250223065101,216220.39809627,0.0,0.0979166666666666,0.4110054347826087
Jersey City,New Jersey,579.878608555521,1.0286055194972177,633245.9498669932,9.25744967547496,0.1520833333333333,0.3709239130434782
Plano,Texas,,0.3446018126055343,321086.5814669233,5.513629001688549,0.4145833333333333,0.1175271739130434
Anchorage,Alaska,555.2486187845304,0.0,259377.46662722432,0.0,0.0020833333333333,0.7398097826086957
North Las Vegas,Nevada,76.17959339142027,0.0,303854.2317485513,9.130143167668056,0.5597222222222222,0.0998641304347826
St. Louis,Missouri,563.4709236847281,0.3549195397403408,183818.44836081984,6.033632175585795,0.175,0.2710597826086957
Madison,Wisconsin,2060.1574383670154,1.0702627495050034,322873.90098838287,2.497279748845008,0.0409722222222222,0.5842391304347826
Chandler,Arizona,91.73561653090032,2.1415798434505136,376994.4781930122,4.283159686901027,0.6333333333333333,0.0339673913043478
Gilbert,Arizona,426.9434931803308,1.089281110776258,399155.1400229195,5.0833118502892045,0.6333333333333333,0.0339673913043478
Reno,Nevada,286.8462532483208,1.0912463852463488,386778.6245799959,1.8187439754105812,0.175,0.3627717391304347
Buffalo,New York,477.9153923461235,0.7281252958009014,192815.0290118212,2.184375887402704,0.03125,0.6440217391304348
Fort Wayne,Indiana,65.4658498674225,0.3703786010059482,145398.33257386743,0.7407572020118965,0.0381944444444444,0.5061141304347826
Lubbock,Texas,339.2322252237352,0.3747030478345911,101025.9972902956,0.3747030478345911,0.2298611111111111,0.4076086956521739
Toledo,Ohio,203.2742206880456,0.0,95310.39313345349,2.638482646322709,0.0340277777777777,0.5801630434782609
St. Petersburg,Florida,627.1693507018681,0.3794303233125785,293153.3032372911,9.106327759501884,0.6486111111111111,0.1317934782608695
