RegionID,size,city,state,zhvi,score
398007,287,Flint,MI,29585.0,3.3307711833001474
16701,422,Albany,GA,38690.0,2.9436763496069447
40897,129,Shreveport,LA,39439.0,2.9160141066248597
24339,499,Decatur,IL,45152.0,2.720847185340259
46183,458,Lawton,OK,45568.0,2.707616026971126
32626,236,Macon,GA,47197.0,2.6569419184338723
32179,188,Jackson,MS,48537.0,2.616552137984651
19903,361,Peoria,IL,53939.0,2.4643083033554216
17762,22,Detroit,MI,54475.0,2.450042787046892
32921,461,Monroe,LA,54992.0,2.436415321565226
10417,121,Birmingham,AL,60394.0,2.30123185003335
54263,266,Saginaw,MI,62638.0,2.248598929554552
17539,170,Columbus,GA,64872.0,2.1980411606816728
12886,442,Muncie,IN,64980.0,2.1956413347206776
31184,206,Dayton,OH,70471.0,2.0786073919909285
32931,132,Montgomery,AL,71741.0,2.052839223182043
27942,371,Wichita Falls,TX,73433.0,2.0192085379725193
34303,74,Toledo,OH,77038.0,1.950066828835149
30141,143,Akron,OH,81247.0,1.873322535083038
54902,443,Valdosta,GA,81515.0,1.868571516781691
41256,195,Topeka,KS,81984.0,1.860294697595877
32811,25,Memphis,TN,82181.0,1.8568321926833895
20776,438,Terre Haute,IN,83105.0,1.8407017992480348
54522,284,Springfield,IL,84462.0,1.817334668853411
38583,457,Fort Smith,AR,89370.0,1.735846454079475
27768,487,Warner Robins,GA,90209.0,1.7223657024724088
47426,157,Rockford,IL,91277.0,1.705385703021859
24115,49,Cleveland,OH,93533.0,1.6701616167380815
11896,411,High Point,NC,96763.0,1.621181579656957
398300,224,Lansing,MI,96891.0,1.6192744154142744
52001,104,Fayetteville,NC,98041.0,1.6022518788866746
51260,237,Canton,OH,98698.0,1.5926162279446596
16753,148,Amarillo,TX,99450.0,1.5816657073290548
4521,222,Edinburg,TX,100191.0,1.5709560641744582
53060,89,Lubbock,TX,102575.0,1.5370298292702638
32900,92,Mobile,AL,103146.0,1.5290211088789072
20555,225,South Bend,IN,104390.0,1.5117254673917546
21159,256,Warren,MI,106466.0,1.4833162052833537
7929,55,Wichita,KS,106890.0,1.4775820941957056
31471,158,Evansville,IN,107357.0,1.4712927211718334
10210,141,Augusta,GA,108603.0,1.454645027454721
35282,229,Beaumont,TX,109001.0,1.449367612824904
31892,494,Gulfport,MS,111502.0,1.4166393956492649
11726,352,Greenville,NC,112750.0,1.4005815500200556
7191,319,Spartanburg,SC,113138.0,1.3956254104608758
51167,156,Brownsville,TX,113658.0,1.3890097493745859
39134,390,Jacksonville,NC,114340.0,1.3803787881164074
18170,72,Fort Wayne,IN,115072.0,1.3711721524230762
5424,182,Killeen,TX,117031.0,1.3468182517911802
4301,368,Davenport,IA,117454.0,1.3416131370565372
45911,382,Jackson,MI,118039.0,1.3344453797560054
33225,36,Oklahoma City,OK,118718.0,1.3261702907958184
7222,120,Springfield,MO,120174.0,1.3085841850263045
25818,247,McAllen,TX,120339.0,1.3066047101614007
39191,218,Kansas City,KS,120517.0,1.304472317661068
23394,259,Abilene,TX,120803.0,1.3010527007633756
17133,336,Bowling Green,KY,122446.0,1.2815633380138547
20859,46,Tulsa,OK,122595.0,1.2798088431531116
46101,286,Lake Charles,LA,123436.0,1.2699457669141712
11335,372,Erie,PA,123551.0,1.2686022958675844
4174,64,Columbia,SC,123570.0,1.2683804514607482
7353,233,Syracuse,NY,126079.0,1.2393809863346024
52893,107,Laredo,TX,127497.0,1.2232456825816147
11786,275,Hamilton,OH,127842.0,1.2193470999758163
3404,413,Anderson,SC,128880.0,1.2076805843435925
41760,100,Winston-Salem,NC,129289.0,1.2031094486505414
12038,315,Independence,MO,130222.0,1.1927357822345315
54294,482,San Angelo,TX,130512.0,1.1895265211916073
48293,276,Waco,TX,132660.0,1.165975552512779
6286,204,Odessa,TX,133514.0,1.1567179556583735
44506,262,Cedar Rapids,IA,133664.0,1.1550980297747309
17933,21,El Paso,TX,133981.0,1.1516805585586518
33136,301,Norman,OK,134022.0,1.1512391418794512
4042,421,Champaign,IL,135556.0,1.1348200121275795
45127,397,Elkhart,IN,136452.0,1.1253154429089158
39312,197,Lafayette,LA,136529.0,1.1245015582715627
18795,41,Kansas City,MO,136637.0,1.1233607788734354
44055,53,Baton Rouge,LA,138348.0,1.1054071954324085
52839,492,Lafayette,IN,139730.0,1.0910671831921364
11722,70,Greensboro,NC,140153.0,1.0867063576547387
10918,232,Columbia,MO,141072.0,1.0772773135650349
47945,79,Tallahassee,FL,142671.0,1.06101686808445
37596,311,Broken Arrow,OK,143272.0,1.0549522958000253
45548,355,Green Bay,WI,143842.0,1.0492239979554703
5071,289,Hartford,CT,144634.0,1.0413022481860605
32149,13,Indianapolis,IN,145329.0,1.034386365997515
12438,384,Longview,TX,146365.0,1.0241383777152238
6792,184,Roanoke,VA,146584.0,1.021981345106734
397180,448,Kalamazoo,MI,147108.0,1.0168332784001786
14208,316,Tuscaloosa,AL,147236.0,1.015578522217791
34671,343,Waterbury,CT,147416.0,1.0138158656625076
52998,153,Little Rock,AR,147654.0,1.0114885433715701
17759,126,Des Moines,IA,148587.0,1.0024010846898448
26140,185,Newport News,VA,149410.0,0.9944322726720841
41084,308,Stone Mountain,GA,150120.0,0.9875927881631853
24336,425,Dearborn,MI,150120.0,0.9875927881631853
46348,406,Lynchburg,VA,150412.0,0.9847893124301379
5976,32,Milwaukee,WI,151066.0,0.9785299897811102
38025,68,Corpus Christi,TX,153348.0,0.9568996327346946
39452,412,Lithonia,GA,154347.0,0.9475315415401219
23862,420,Bryan,TX,156178.0,0.930517740816407
52696,427,Johnson City,TN,157848.0,0.9151730022819407
5052,250,Hampton,VA,158366.0,0.9104463507127554
30211,298,Town Of Amherst,NY,161227.0,0.8846156173997516
19865,228,Pasadena,TX,162165.0,0.8762465065788376
53978,423,Portsmouth,VA,162331.0,0.8747704489529898
41324,211,Tyler,TX,163891.0,0.8609723518325514
32238,294,Joliet,IL,164207.0,0.8581933542532627
32489,392,Lexington,SC,164604.0,0.8547095887494
24821,138,Gainesville,FL,164623.0,0.8545430701722034
53856,97,Pensacola,FL,165586.0,0.8461282827914287
6696,454,Reading,PA,167317.0,0.8311249477496822
6891,69,Saint Louis,MO,167320.0,0.8310990804061261
25514,221,Las Cruces,NM,167593.0,0.828747091481271
17222,91,Buffalo,NY,168539.0,0.8206265131843373
10920,18,Columbus,OH,168740.0,0.8189069769099303
34312,484,Tonawanda,NY,169271.0,0.814374155807018
30236,472,Appleton,WI,169594.0,0.8116238532420829
54628,466,Sunrise,FL,171657.0,0.7941802933516382
7204,112,Spring,TX,174660.0,0.7691597382062393
26529,61,Pittsburgh,PA,174898.0,0.7671951917058648
53673,127,Ocala,FL,174936.0,0.7668817721310414
17571,269,Coral Springs,FL,175361.0,0.7633810530656417
38328,199,Edmond,OK,175501.0,0.7622297325097322
39220,459,Kenosha,WI,175779.0,0.7599462588983847
25574,71,Lexington,KY,176212.0,0.7563968086692076
37933,396,Clinton,MI,176907.0,0.7507178486126257
4099,60,Cincinnati,OH,177173.0,0.7485502200932542
19360,207,Midland,TX,178265.0,0.7396855070271862
18073,350,Fargo,ND,178417.0,0.7384558982468736
39051,2,Houston,TX,179002.0,0.7337332766035689
