City,State,biking,housing,weather
New York,New York,1600000US3651000,6181,744976
Los Angeles,California,1600000US0644000,12447,722885
Chicago,Illinois,1600000US1714000,17426,725300
Houston,Texas,1600000US4835000,39051,720594
Phoenix,Arizona,1600000US0455000,40326,722784
Philadelphia,Pennsylvania,1600000US4260000,13271,997286
San Antonio,Texas,1600000US4865000,6915,722530
San Diego,California,1600000US0666000,54296,722903
Dallas,Texas,1600000US4819000,38128,722580
San Jose,California,1600000US0668000,33839,724946
Austin,Texas,1600000US4805000,10221,722544
Jacksonville,Florida,1600000US1235000,25290,722065
Fort Worth,Texas,1600000US4827000,18172,747390
Columbus,Ohio,1600000US3918000,10920,724280
Indianapolis,Indiana,1600000US1836003,32149,724380
Charlotte,North Carolina,1600000US3712000,24043,723140
San Francisco,California,1600000US0667000,20330,994016
Seattle,Washington,1600000US5363000,16037,994014
Denver,Colorado,1600000US0820000,11093,724690
Washington,District of Columbia,1600000US1150000,41568,997314
Nashville,Tennessee,1600000US4752006,6118,723270
Oklahoma City,Oklahoma,1600000US4055000,33225,723530
El Paso,Texas,1600000US4824000,17933,722704
Boston,Massachusetts,1600000US2507000,44269,994971
Portland,Oregon,1600000US4159000,13373,726980
Las Vegas,Nevada,1600000US3240000,18959,724846
Detroit,Michigan,1600000US2622000,17762,725375
Memphis,Tennessee,1600000US4748000,32811,723340
Louisville,Kentucky,1600000US2148006,12455,724235
Baltimore,Maryland,1600000US2404000,3523,745944
Milwaukee,Wisconsin,1600000US5553000,5976,997342
Albuquerque,New Mexico,1600000US3502000,23429,723650
Tucson,Arizona,1600000US0477000,7481,722745
Fresno,California,1600000US0627000,18203,723890
Sacramento,California,1600000US0664000,20288,724830
Kansas City,Missouri,1600000US2938000,18795,724463
Mesa,Arizona,1600000US0446000,19331,722783
Atlanta,Georgia,1600000US1304000,37211,722195
Omaha,Nebraska,1600000US3137000,40152,720308
Colorado Springs,Colorado,1600000US0816000,4172,724660
Raleigh,North Carolina,1600000US3755000,54047,723060
Long Beach,California,1600000US0643000,46298,722970
Virginia Beach,Virginia,1600000US5182000,41515,723075
Miami,Florida,1600000US1245000,12700,997355
Oakland,California,1600000US0653000,13072,724930
Minneapolis,Minnesota,1600000US2743000,5983,726580
Tulsa,Oklahoma,1600000US4075000,20859,723560
Bakersfield,California,1600000US0603526,3506,723840
Wichita,Kansas,1600000US2079000,7929,724500
Arlington,Texas,1600000US4804000,50763,722479
Aurora,Colorado,1600000US0804000,16846,724695
Tampa,Florida,1600000US1271000,41176,722110
New Orleans,Louisiana,1600000US2255000,19594,722315
Cleveland,Ohio,1600000US3916000,24115,725245
Honolulu,Hawaii,1600000US1571550,18615,994007
Anaheim,California,1600000US0602000,16764,720333
Lexington,Kentucky,1600000US2146027,25574,724220
Stockton,California,1600000US0675000,7266,724920
Corpus Christi,Texas,1600000US4817000,38025,720731
Henderson,Nevada,1600000US3231900,11867,722096
Riverside,California,1600000US0662000,47401,722869
Newark,New Jersey,1600000US3451000,12970,725020
Saint Paul,Minnesota,1600000US2758000,20313,726584
Santa Ana,California,1600000US0669000,47568,722915
Cincinnati,Ohio,1600000US3915000,4099,724297
Irvine,California,1600000US0636770,52650,722908
Orlando,Florida,1600000US1253000,13121,722050
Pittsburgh,Pennsylvania,1600000US4261000,26529,725205
St. Louis,Missouri,1600000US2965000,6891,725314
Greensboro,North Carolina,1600000US3728000,11722,723170
Jersey City,New Jersey,1600000US3436000,25320,720553
Anchorage,Alaska,1600000US0203000,23482,702700
Lincoln,Nebraska,1600000US3128000,32503,725510
Plano,Texas,1600000US4858016,53915,722598
Durham,North Carolina,1600000US3719000,24457,746939
Buffalo,New York,1600000US3611000,17222,725285
Chandler,Arizona,1600000US0412000,17384,722749
Chula Vista,California,1600000US0613392,51405,722904
Toledo,Ohio,1600000US3977000,34303,724289
Madison,Wisconsin,1600000US5548000,398849,726410
Gilbert,Arizona,1600000US0427400,4888,722749
Reno,Nevada,1600000US3260600,13478,724880
Fort Wayne,Indiana,1600000US1825000,18170,725330
North Las Vegas,Nevada,1600000US3251800,26187,723865
St. Petersburg,Florida,1600000US1263000,26922,722104
Lubbock,Texas,1600000US4845000,53060,722670
Irving,Texas,1600000US4837000,12065,722590
Laredo,Texas,1600000US4841464,52893,722520
Winston–Salem,North Carolina,1600000US3775000,41760,723193
Chesapeake,Virginia,1600000US5116000,44564,724006
Glendale,Arizona,1600000US0427820,18298,722787
Garland,Texas,1600000US4829000,18251,721044
Scottsdale,Arizona,1600000US0465000,54346,722789
Norfolk,Virginia,1600000US5157000,6210,723080
Boise,Idaho,1600000US1608830,3737,726810
Fremont,California,1600000US0626000,11540,745090
Spokane,Washington,1600000US5367000,20604,727850
Santa Clarita,California,1600000US0669088,54311,745057
Baton Rouge,Louisiana,1600000US2205000,44055,722320
Richmond,Virginia,1600000US5167000,6752,724010
Hialeah,Florida,1600000US1230000,25104,722024
San Bernardino,California,1600000US0665000,20328,722866
Tacoma,Washington,1600000US5370000,27362,727938
Modesto,California,1600000US0648354,25934,724926
Huntsville,Alabama,1600000US0137000,12014,723230
Des Moines,Iowa,1600000US1921000,17759,725460
Yonkers,New York,1600000US3684000,34937,997280
Rochester,New York,1600000US3663000,0,725290
Moreno Valley,California,1600000US0649270,25981,722860
Fayetteville,North Carolina,1600000US3722920,52001,746930
Fontana,California,1600000US0624680,24741,747040
Columbus,Georgia,1600000US1319000,17539,722255
Worcester,Massachusetts,1600000US2582000,14724,725100
Port St. Lucie,Florida,1600000US1258715,33501,722189
Little Rock,Arkansas,1600000US0541000,52998,723401
Augusta,Georgia,1600000US1304204,10210,722180
Oxnard,California,1600000US0654652,13150,723927
Birmingham,Alabama,1600000US0107000,10417,722280
Montgomery,Alabama,1600000US0151000,32931,722265
Frisco,Texas,1600000US4827684,18208,722598
Amarillo,Texas,1600000US4803000,16753,723630
Salt Lake City,Utah,1600000US4967000,6909,725720
Grand Rapids,Michigan,1600000US2634000,11671,726350
Huntington Beach,California,1600000US0636000,25218,722975
