city,state,population,area,radius,restaurants,per_100k,score
Burbank,California,102755,17.3,3776.565317388338,26,25.30290496812807,3.267715042982901
Berkeley,California,118962,10.4,2928.131782265345,29,24.37753232124544,3.213964108878968
Atlanta,Georgia,510823,135.3,10561.432972287532,107,20.946590110468794,2.995127423183703
Portland,Oregon,630498,133.5,10490.944311692332,111,17.605131182018024,2.744407993335036
Hollywood,Florida,153859,27.3,4744.115702907141,26,16.898588967821187,2.6853148025669786
Fort Lauderdale,Florida,184255,34.6,5340.869891038439,25,13.568152831673498,2.368636341688512
Cambridge,Massachusetts,118214,6.4,2297.0155532526483,16,13.534775914866259,2.3650830181971294
Costa Mesa,California,108354,15.8,3609.1297241288007,14,12.920612067851673,2.2980864302420083
Oakland,California,436504,55.9,6788.594263316176,56,12.829206605208658,2.2878439688692866
Vancouver,Washington,196442,48.7,6336.339366192372,25,12.726402704106048,2.2762366949785724
Carlsbad,California,113495,37.8,5582.385817815107,14,12.335345169390722,2.231210101967893
Salt Lake City,Utah,209593,110.3,9535.900372431966,25,11.927879270777174,2.182749576492064
Inglewood,California,102865,9.1,2739.0164781401686,12,11.665775531035823,2.1506942357406045
Bend,Oregon,104557,33.6,5263.1238226355645,12,11.47699341029295,2.1271567695639573
Washington,District of Columbia,678972,61.1,7097.322730374145,77,11.340673842220298,2.1099183812095204
Tempe,Arizona,189834,39.9,5735.356217552478,20,10.535520507390668,2.0036736083307742
Pasadena,California,133560,23.0,4354.495708340998,14,10.482180293501047,1.996350844722873
Garden Grove,California,168234,18.0,3852.2121918354073,17,10.104972835455378,1.9434774594854314
Honolulu,Hawaii,341778,60.5,7062.389018364914,34,9.947977927192506,1.920887227651604
Orlando,Florida,320742,110.6,9548.859699415958,31,9.665089074708021,1.8792669497403671
Torrance,California,139224,20.5,4111.032208879269,13,9.337470551054416,1.8295157090497793
Davie,Florida,107799,34.9,5363.973978235077,10,9.27652390096383,1.8200682211088337
Jersey City,New Jersey,291657,14.7,3481.229188508331,27,9.257449675474959,1.8170987229466156
Las Vegas,Nevada,660929,141.8,10812.15005269847,61,9.229433116113833,1.8127259595497425
Santa Clara,California,131062,18.3,3884.181305900568,12,9.155971982725733,1.8011969694324643
North Las Vegas,Nevada,284771,101.3,9138.579021242058,26,9.130143167668056,1.7971214041338108
St. Petersburg,Florida,263553,61.8,7137.8626432224355,24,9.106327759501884,1.793353307671806
Glendale,California,187050,30.5,5014.456503801025,17,9.0884790163058,1.7905227965405357
Miami Gardens,Florida,110717,18.2,3873.5542509492166,10,9.032036633940587,1.7815352588728022
Carrollton,Texas,132918,36.7,5500.56094560142,12,9.028122601904935,1.7809099316403691
Long Beach,California,449468,50.7,6465.1399215154715,40,8.899409969119048,1.76019360974744
San Mateo,California,101327,12.1,3158.3963857223916,9,8.882134080748468,1.75739027093148
Huntington Beach,California,192129,27.0,4717.9771254625675,17,8.848221767666516,1.751871466234289
Richmond,California,114106,30.1,4981.466300224224,10,8.763781045694355,1.7380373616644271
San Francisco,California,808988,46.9,6218.138200978377,67,8.281952266288252,1.656454808819391
West Palm Beach,Florida,124130,53.8,6659.8597994743595,10,8.05607024893257,1.6165601848792401
Pompano Beach,Florida,113619,24.0,4448.151491863461,9,7.921210360943153,1.5922048121296908
Richardson,Texas,117435,28.6,4855.757229244392,9,7.663814024779666,1.5445464732781435
Tampa,Florida,403364,114.0,9694.521419296256,30,7.437451036780675,1.5012921867757898
Richmond,Virginia,229247,59.9,7027.281647575907,17,7.415582319506908,1.4970439080568925
Arvada,Colorado,121414,38.9,5663.0285291185755,9,7.41265422438928,1.4964741372216546
Norfolk,Virginia,230930,53.3,6628.840255908358,17,7.361538128437189,1.4864911573561894
Baltimore,Maryland,565239,80.9,8166.7302261739615,41,7.253568844329567,1.4651749145386876
Sunnyvale,California,151967,22.1,4268.448891039216,11,7.238413602953272,1.4621574668392978
Ontario,California,182457,50.0,6420.353653059013,13,7.1249664304466265,1.4393671380465167
Grand Rapids,Michigan,196608,44.8,6077.33191155395,14,7.120768229166667,1.4385168169521951
Santa Ana,California,310539,27.3,4744.115702907141,22,7.0844563806800425,1.4311410746769713
Cincinnati,Ohio,311097,77.8,8008.73174998525,22,7.07174932577299,1.4285510572100615
Anaheim,California,340512,50.3,6439.585908777854,24,7.048209754722301,1.4237407806805584
